ID,dr_doi,primary,rel_pub_url,journal_name,usgs_pub,pubyear,doi_referenced,doi_location,doi_loc_description,other_reference,other_ref_type,other_ref_location,other_ref_loc_description,notes,Publisher,Linked_From_Landing_Page
434,doi:10.5066/P9OWNCG8,TRUE,https://doi.org/10.3133/ofr20181175,,,,,,,,,,,,,
435,doi:10.5066/F7MG7NFC,TRUE,https://doi.org/10.1086/698353,,,,,,,,,,,,,
436,doi:10.5066/P9VFN3JD,TRUE,https://doi.org/10.1111/tbed.13226,,,,,,,,,,,,,
437,doi:10.5066/F73B5X76,TRUE,https://doi.org/10.1016/j.rse.2017.06.027,,,,,,,,,,,,,
438,doi:10.5066/F7GF0SRT,TRUE,https://doi.org/10.3133/sir20185113,,,,,,,,,,,,,
439,doi:10.5066/F70G3JC4,TRUE,https://doi.org/10.3133/sir20185072,,,,,,,,,,,,,
440,doi:10.5066/P98PPLDV,TRUE,https://doi.org/10.1190/geo2018-0679.1,,,,,,,,,,,,,
441,doi:10.5066/P93QMXC9,TRUE,https://doi.org/10.3133/sir20195114,,,,,,,,,,,,,
442,doi:10.5066/P9PUID9D,TRUE,https://doi.org/10.5066/P9565EY6,,,,,,,,,,,,,
443,doi:10.5066/P9K9M1RQ,TRUE,https://doi.org/10.1002/ieam.4155,,,,,,,,,,,,,
444,doi:10.5066/F79W0CQB,TRUE,https://doi.org/10.3133/sir20175105,,,,,,,,,,,,,
445,doi:10.5066/F78P5XM4,TRUE,https://doi.org/10.2113/econgeo.111.8.1859,,,,,,,,,,,,,
446,doi:10.5066/F7V69HSC,TRUE,https://doi.org/10.1016/j.jglr.2018.07.001,,,,,,,,,,,,,
447,doi:10.5066/F7H70DB4,TRUE,https://doi.org/10.3133/ds1064,,,,,,,,,,,,,
448,doi:10.5066/P9VSFC7J,TRUE,https://doi.org/10.7589/2018-06-156,,,,,,,,,,,,,
449,doi:10.5066/P9LIL7PZ,TRUE,https://doi.org/10.3133/ofr20191133,,,,,,,,,,,,,
450,doi:10.5066/F7542KP9,TRUE,https://doi.org/10.1016/j.jenvman.2016.06.018,,,,,,,,,,,,,
451,doi:10.5066/F72V2F4S,TRUE,https://doi.org/10.3390/agriculture8010002,,,,,,,,,,,,,
452,doi:10.5066/F76T0K4K,TRUE,https://doi.org/10.3133/ofr20171140,,,,,,,,,,,,,
453,doi:10.5066/F7FT8J5T,TRUE,https://doi.org/10.1086/692096,,,,,,,,,,,,,
454,doi:10.5066/F7K935P5,TRUE,https://doi.org/10.3133/ofr20171046,,,,,,,,,,,,,
455,doi:10.5066/F7VX0DPM,TRUE,https://doi.org/10.3996/052017-JFWM-042,,,,,,,,,,,,,
456,doi:10.5066/F79P2ZTD,TRUE,https://doi.org/10.1676/16-106.1,,,,,,,,,,,,,
457,doi:10.5066/P9Q8JGAO,TRUE,https://doi.org/10.3133/ofr20181151,,,,,,,,,,,,,
458,doi:10.5066/F7416VXX,TRUE,https://doi.org/10.3133/sir20185024,,,,,,,,,,,,,
459,doi:10.5066/F7GH9GF5,TRUE,https://doi.org/10.3133/sir20185088,,,,,,,,,,,,,
460,doi:10.5066/P9KJT37B,TRUE,https://doi.org/10.1002/ajb2.1157,,,,,,,,,,,,,
461,doi:10.5066/P9AXLOSM,TRUE,https://doi.org/10.3133/sir20195112,,,,,,,,,,,,,
462,doi:10.5066/P9NDA9YC,TRUE,https://doi.org/10.1371/journal.pone.0214099,,,,,,,,,,,,,
463,doi:10.5066/P9RXS3HU,TRUE,https://doi.org/10.3133/sir20175136,,,,,,,,,,,,,
464,doi:10.5066/F76W999M,TRUE,https://doi.org/10.1007/s00128-018-2357-x,,,,,,,,,,,,,
465,doi:10.5066/F7J964K7,TRUE,https://doi.org/10.1016/j.jhydrol.2017.09.004,,,,,,,,,,,,,
466,doi:10.5066/F7PZ56XZ,TRUE,https://doi.org/10.3133/sim3369,,,,,,,,,,,,,
467,doi:10.5066/P96ENO3D,TRUE,https://doi.org/10.1002/ecs2.2776,,,,,,,,,,,,,
468,doi:10.5066/P90P8VWJ,TRUE,https://doi.org/10.3133/sir20185168,,,,,,,,,,,,,
469,doi:10.5066/F7H9938M,TRUE,https://doi.org/10.3133/ds974,,,,,,,,,,,,,
470,doi:10.5066/F7WQ02RM,TRUE,https://doi.org/10.3133/ofr03495,,,,,,,,,,,,,
471,doi:10.5066/P9N10OX1,TRUE,https://doi.org/XX.XXXX,,,,,,,,,,,,,
472,doi:10.5066/F7JD4TWT,TRUE,https://doi.org/10.3133/sir20165089,,,,,,,,,,,,,
473,doi:10.5066/F75D8PW8,TRUE,https://doi.org/10.3133/ofr20141163,,,,,,,,,,,,,
474,doi:10.5066/F7MP51DS,TRUE,https://doi.org/10.3133/ofr20161189,,,,,,,,,,,,,
475,doi:10.5066/P9NT387B,TRUE,https://doi.org/10.1029/2019WR025001,,,,,,,,,,,,,
476,doi:10.5066/F7S181PH,TRUE,https://doi.org/10.1007/s10040-018-1872-5,,,,,,,,,,,,,
477,doi:10.5066/F7VX0FSC,TRUE,https://doi.org/10.1002/nsg.12023,,,,,,,,,,,,,
478,doi:10.5066/F7TH8KXD,TRUE,https://doi.org/10.7717/peerj.5276,,,,,,,,,,,,,
479,doi:10.5066/F7668BN7,TRUE,https://doi.org/10.3133/sir20135077,,,,,,,,,,,,,
480,doi:10.5066/P9USE8CH,TRUE,https://doi.org/10.1650/CONDOR-17-128.1,,,,,,,,,,,,,
481,doi:10.5066/F7FF3R9D,TRUE,https://doi.org/10.3133/sir20185069,,,,,,,,,,,,,
482,doi:10.5066/P9Q86Z7D,TRUE,https://doi.org/10.3133/SIR-XXXX,,,,,,,,,,,,,
483,doi:10.5066/F7Z89BB3,TRUE,https://doi.org/10.1080/01431161.2018.1519642,,,,,,,,,,,,,
484,doi:10.5066/P9NFK0K4,TRUE,https://doi.org/10.3133/ds1077,,,,,,,,,,,,,
485,doi:10.5066/P9CW5VUC,TRUE,https://doi.org/10.1002/eap.2085,,,,,,,,,,,,,
486,doi:10.5066/P9W0TX9Y,TRUE,https://doi.org/10.3133/tm7C22,,,,,,,,,,,,,
487,doi:10.5066/F7CZ363N,TRUE,https://doi.org/10.1021/acs.estlett.7b00505,,,,,,,,,,,,,
488,doi:10.5066/F7CR5SBH,TRUE,https://doi.org/10.1371/journal.pone.0201951,,,,,,,,,,,,,
489,doi:10.5066/F78P5Z1X,TRUE,https://doi.org/10.3389/fevo.2017.00085,,,,,,,,,,,,,
490,doi:10.5066/P9WRFUDQ,TRUE,https://doi.org/10.1002/ieam.4155,,,,,,,,,,,,,
491,doi:10.5066/P9Z39TII,TRUE,https://doi.org/10.3133/sir20195062,,,,,,,,,,,,,
492,doi:10.5066/F7G44NFJ,TRUE,https://doi.org/10.1007/s12237-016-0177-y,,,,,,,,,,,,,
493,doi:10.5066/F70C4SXJ,TRUE,https://doi.org/10.3354/esr00819,,,,,,,,,,,,,
494,doi:10.5066/F73T9FCJ,TRUE,https://doi.org/10.1029/2018GB005897,,,,,,,,,,,,,
495,doi:10.5066/P97R4ES3,TRUE,https://doi.org/10.1016/j.rse.2016.09.020,,,,,,,,,,,,,
496,doi:10.5066/F7HQ3X4M,TRUE,https://doi.org/10.1016/j.dsr.2017.03.009,,,,,,,,,,,,,
497,doi:10.5066/F79021VS,TRUE,https://doi.org/10.3133/sir20155164,,,,,,,,,,,,,
498,doi:10.5066/F7BR8QFV,TRUE,https://doi.org/10.1016/j.jaridenv.2017.05.008,,,,,,,,,,,,,
499,doi:10.5066/F7T43RZ7,TRUE,https://doi.org/10.5066/F7V122T2,,,,,,,,,,,,,
500,doi:10.5066/F7C8286J,TRUE,https://doi.org/10.1016/j.ecss.2018.03.026,,,,,,,,,,,,,
501,doi:10.5066/P90MACYS,TRUE,https://doi.org/10.3390/rs11080976,,,,,,,,,,,,,
502,doi:10.5066/F78C9V6B,TRUE,https://doi.org/10.3133/sir20185043,,,,,,,,,,,,,
503,doi:10.5066/F7H70CZS,TRUE,https://doi.org/10.1675/063.040.0305,,,,,,,,,,,,,
504,doi:10.5066/P9USHPMJ,TRUE,https://doi.org/10.1016/j.envsoft.2018.09.023,,,,,,,,,,,,,
505,doi:10.5066/F71V5C2W,TRUE,https://doi.org/10.3996/112015-JFWM-116,,,,,,,,,,,,,
506,doi:10.5066/P9SA4LZZ,TRUE,https://doi.org/10.3133/sir20185105,,,,,,,,,,,,,
507,doi:10.5066/F7Z31WW4,TRUE,https://doi.org/10.1016/j.foreco.2018.01.036,,,,,,,,,,,,,
508,doi:10.5066/F78P5ZGR,TRUE,https://doi.org/10.3133/ofr20171146,,,,,,,,,,,,,
509,doi:10.5066/F7CJ8BKB,TRUE,https://doi.org/10.3133/ds1017,,,,,,,,,,,,,
510,doi:10.5066/F7BV7DQC,TRUE,https://doi.org/10.3133/ofr20181062,,,,,,,,,,,,,
511,doi:10.5066/F7KK98XK,TRUE,https://doi.org/10.3133/ds1050,,,,,,,,,,,,,
512,doi:10.5066/F7MG7N0J,TRUE,https://doi.org/10.3133/sir20175123,,,,,,,,,,,,,
513,doi:10.5066/F7V122WZ,TRUE,https://doi.org/10.3133/sim3364,,,,,,,,,,,,,
514,doi:10.5066/F7SJ1JVG,TRUE,https://doi.org/10.1002/2017WR021970,,,,,,,,,,,,,
515,doi:10.5066/F75D8QQF,TRUE,https://doi.org/10.5066/F7V122T2,,,,,,,,,,,,,
516,doi:10.5066/F71G0JGN,TRUE,https://doi.org/10.1002/ece3.4345,,,,,,,,,,,,,
517,doi:10.5066/P90P3Q6F,TRUE,https://doi.org/10.1007/s00244-018-00591-9,,,,,,,,,,,,,
518,doi:10.5066/F72J69RM,TRUE,https://doi.org/10.1371/journal.pone.0198382,,,,,,,,,,,,,
519,doi:10.5066/P9WYD6LS,TRUE,https://doi.org/10.3133/sir20195067,,,,,,,,,,,,,
520,doi:10.5066/F7125RVT,TRUE,https://doi.org/10.3390/rs10010005,,,,,,,,,,,,,
521,doi:10.5066/F7BR8QP0,TRUE,https://doi.org/10.1016/j.apgeochem.2017.11.002,,,,,,,,,,,,,
522,doi:10.5066/F7FJ2FNT,TRUE,https://doi.org/10.1002/2017GL072944,,,,,,,,,,,,,
523,doi:10.5066/F72V2FBG,TRUE,https://doi.org/10.3133/ofr20181079,,,,,,,,,,,,,
524,doi:10.5066/F7BZ6460,TRUE,https://doi.org/10.3133/ofr20171079,,,,,,,,,,,,,
525,doi:10.5066/F7CJ8CDH,TRUE,https://doi.org/10.3133/fs20183057,,,,,,,,,,,,,
526,doi:10.5066/F7D799CT,TRUE,https://doi.org/10.5066/F7H70DB4,,,,,,,,,,,,,
527,doi:10.5066/F7KW5D6D,TRUE,https://doi.org/10.1186/s13021-017-0070-4,,,,,,,,,,,,,
528,doi:10.5066/P9WOUJD3,TRUE,https://doi.org/10.3133/fs20183073,,,,,,,,,,,,,
529,doi:10.5066/F7TX3DN0,TRUE,https://doi.org/10.3133/sir20185157,,,,,,,,,,,,,
530,doi:10.5066/P9F9618G,TRUE,https://doi.org/10.3390/rs10060913,,,,,,,,,,,,,
531,doi:10.5066/P9OFYN3C,TRUE,https://doi.org/10.3133/sir20185103,,,,,,,,,,,,,
532,doi:10.5066/P9VLR5UT,TRUE,https://doi.org/10.1002/REC.129341,,,,,,,,,,,,,
533,doi:10.5066/F7VQ320K,TRUE,https://doi.org/doi:10.3133/sir20185061,,,,,,,,,,,,,
534,doi:10.5066/P91SK721,TRUE,https://doi.org/10.3133/fs20203001,,,,,,,,,,,,,
535,doi:10.5066/P9UNY0FR,TRUE,https://doi.org/10.1016/j.hal.2019.101730,,,,,,,,,,,,,
536,doi:10.5066/F71C1VSR,TRUE,https://doi.org/10.3133/ofr20171085,,,,,,,,,,,,,
537,doi:10.5066/F7513XFN,TRUE,https://doi.org/10.3133/sir20185166,,,,,,,,,,,,,
538,doi:10.5066/P9KTLXL8,TRUE,https://doi.org/10.1016/j.envpol.2019.01.122,,,,,,,,,,,,,
539,doi:10.5066/P9Y99UFF,TRUE,https://doi.org/10.1002/ecs2.2279,,,,,,,,,,,,,
540,doi:10.5066/P998D45N,TRUE,https://doi.org/10.1186/s40317-019-0177-3,,,,,,,,,,,,,
541,doi:10.5066/F7639MXG,TRUE,https://doi.org/10.3133/sir20175012,,,,,,,,,,,,,
542,doi:10.5066/F7FJ2DV3,TRUE,https://doi.org/10.3133/sir20185065,,,,,,,,,,,,,
543,doi:10.5066/F7DF6PDR,TRUE,https://doi.org/10.1016/j.rse.2015.12.043,,,,,,,,,,,,,
544,doi:10.5066/F72J6B1M,TRUE,https://doi.org/10.1002/ecs2.1823,,,,,,,,,,,,,
545,doi:10.5066/F7CN7202,TRUE,https://doi.org/10.1016/j.scitotenv.2017.06.156,,,,,,,,,,,,,
546,doi:10.5066/F7377766,TRUE,https://doi.org/10.1016/j.apgeochem.2017.07.014,,,,,,,,,,,,,
547,doi:10.5066/P9U28JFO,TRUE,https://doi.org/10.3389/fmars.2019.00245,,,,,,,,,,,,,
548,doi:10.5066/F73R0R3K,TRUE,https://doi.org/10.1111/ele.12807,,,,,,,,,,,,,
549,doi:10.5066/F7HD7SVS,TRUE,https://doi.org/10.1002/etc.3884,,,,,,,,,,,,,
550,doi:10.5066/F7513X35,TRUE,https://doi.org/10.1016/j.ecolind.2017.09.005,,,,,,,,,,,,,
551,doi:10.5066/P9FGZ0ED,TRUE,https://doi.org/10.1029/2019GL082487,,,,,,,,,,,,,
552,doi:10.5066/P9PQKSYF,TRUE,https://doi.org/10.3133/sir20195028,,,,,,,,,,,,,
553,doi:10.5066/F7TM788T,TRUE,https://doi.org/10.1016/j.ejrh.2017.08.006,,,,,,,,,,,,,
554,doi:10.5066/P9O7255D,TRUE,https://doi.org/10.3389/feart.2019.00053,,,,,,,,,,,,,
555,doi:10.5066/P9EEFX0B,TRUE,https://doi.org/10.1111/1752-1688.12706,,,,,,,,,,,,,
556,doi:10.5066/F7ZW1J42,TRUE,https://doi.org/10.3133/ofr20171088,,,,,,,,,,,,,
557,doi:10.5066/F7RX9B09,TRUE,https://doi.org/10.3133/sir20185037,,,,,,,,,,,,,
558,doi:10.5066/F7JW8D5S,TRUE,https://doi.org/10.3133/ofr20181082,,,,,,,,,,,,,
559,doi:10.5066/F7Q52NZ1,TRUE,https://doi.org/10.1029/2018WR023586,,,,,,,,,,,,,
560,doi:10.5066/F7MC8XHX,TRUE,https://doi.org/10.1016/j.csr.2017.09.005,,,,,,,,,,,,,
561,doi:10.5066/P9S7EMTB,TRUE,https://doi.org/10.1029/2019GL083478,,,,,,,,,,,,,
562,doi:10.5066/F7WH2NW4,TRUE,https://doi.org/10.7717/peerj.5869,,,,,,,,,,,,,
563,doi:10.5066/F73X84PH,TRUE,https://doi.org/10.1371/journal.pone.0138759,,,,,,,,,,,,,
564,doi:10.5066/F7P26X4R,TRUE,https://doi.org/10.1785/0220170108,,,,,,,,,,,,,
565,doi:10.5066/F73N22PN,TRUE,https://doi.org/10.1002/ece3.4056,,,,,,,,,,,,,
566,doi:10.5066/P9ZMIATF,TRUE,https://doi.org/10.1111/ddi.12933,,,,,,,,,,,,,
567,doi:10.5066/P9KMH2VX,TRUE,https://doi.org/10.3133/ofr20191027,,,,,,,,,,,,,
568,doi:10.5066/F7C53K4Q,TRUE,https://doi.org/10.3133/sir20185102,,,,,,,,,,,,,
569,doi:10.5066/F7VX0DMQ,TRUE,https://doi.org/10.1890/15-0750.1,,,,,,,,,,,,,
570,doi:10.5066/F7HD7SQ0,TRUE,https://doi.org/10.1007/s10592-016-0888-4,,,,,,,,,,,,,
571,doi:10.5066/F7891407,TRUE,https://doi.org/10.1111/maec.12449,,,,,,,,,,,,,
572,doi:10.5066/P9B1VZNJ,TRUE,https://doi.org/10.3133/fs20163092,,,,,,,,,,,,,
573,doi:10.5066/F7HQ3X0T,TRUE,https://doi.org/10.3133/sir20165130,,,,,,,,,,,,,
574,doi:10.5066/F7R49Q1C,TRUE,https://doi.org/10.3133/ds1094,,,,,,,,,,,,,
575,doi:10.5066/P973FQ3M,TRUE,https://doi.org/10.1007/s10346-019-01160-4,,,,,,,,,,,,,
576,doi:10.5066/F7DR2SZR,TRUE,https://doi.org/10.1642/AUK-16-195.1,,,,,,,,,,,,,
577,doi:10.5066/F7QZ28ZD,TRUE,https://doi.org/10.3133/cir1434,,,,,,,,,,,,,
578,doi:10.5066/F74T6HK7,TRUE,https://doi.org/10.1656/058.017.0313,,,,,,,,,,,,,
579,doi:10.5066/F7S180ZP,TRUE,https://doi.org/10.3133/ds1053,,,,,,,,,,,,,
580,doi:10.5066/P9U3X5XW,TRUE,https://doi.org/10.1080/03632415.2017.1383903,,,,,,,,,,,,,
581,doi:10.5066/P9XPWIBM,TRUE,https://doi.org/10.1130/B35047.1,,,,,,,,,,,,,
582,doi:10.5066/F7T72FPK,TRUE,https://doi.org/10.3133/sir20175055,,,,,,,,,,,,,
583,doi:10.5066/P92U3R7G,TRUE,https://doi.org/10.1002/etc.4592,,,,,,,,,,,,,
584,doi:10.5066/F70K26RK,TRUE,https://doi.org/10.1002/eap.1512,,,,,,,,,,,,,
585,doi:10.5066/P9V7N49P,TRUE,https://doi.org/10.1016/j.geomorph.2019.02.008,,,,,,,,,,,,,
586,doi:10.5066/F7280648,TRUE,https://doi.org/10.1016/j.envpol.2017.08.110,,,,,,,,,,,,,
587,doi:10.5066/F7736Q34,TRUE,https://doi.org/10.2112/SI76-008,,,,,,,,,,,,,
588,doi:10.5066/P9SEUC93,TRUE,https://doi.org/10.3133/ofr20181127,,,,,,,,,,,,,
589,doi:10.5066/F7BC3XTK,TRUE,https://doi.org/10.1016/j.ijggc.2018.09.006,,,,,,,,,,,,,
590,doi:10.5066/F7V69GN5,TRUE,https://doi.org/10.3996/082018-JFWM-066,,,,,,,,,,,,,
591,doi:10.5066/F7RR1WC3,TRUE,https://doi.org/10.1038/s41598-017-01224-2,,,,,,,,,,,,,
592,doi:10.5066/F7BV7DS8,TRUE,https://doi.org/10.1002/2017GL073979,,,,,,,,,,,,,
593,doi:10.5066/F7NV9GQR,TRUE,https://doi.org/10.3391/mbi.2018.9.1.05,,,,,,,,,,,,,
594,doi:10.5066/P999473N,TRUE,https://doi.org/10.1016/j.ecoenv.2019.04.047,,,,,,,,,,,,,
595,doi:10.5066/F7VD6XDB,TRUE,https://doi.org/10.1126/sciadv.aap9741,,,,,,,,,,,,,
596,doi:10.5066/P95QUX1H,TRUE,https://doi.org/10.1016/j.orggeochem.2019.02.007,,,,,,,,,,,,,
597,doi:10.5066/P9NWJQJR,TRUE,https://doi.org/10.1071/WF17177,,,,,,,,,,,,,
598,doi:10.5066/F7RV0KWR,TRUE,https://doi.org/10.1785/0220170005,,,,,,,,,,,,,
599,doi:10.5066/P9XFQVFD,TRUE,https://doi.org/10.3391/ai.2019.14.4.14,,,,,,,,,,,,,
600,doi:10.5066/P9MPE5SD,TRUE,https://doi.org/10.3133/sir20195093,,,,,,,,,,,,,
601,doi:10.5066/P994V9LI,TRUE,https://doi.org/10.1111/nph.16191,,,,,,,,,,,,,
602,doi:10.5066/F7222RXW,TRUE,https://doi.org/10.1130/GES01348.1,,,,,,,,,,,,,
603,doi:10.5066/F7S75FH5,TRUE,https://doi.org/10.1111/eth.12690,,,,,,,,,,,,,
604,doi:10.5066/P9Z7YOXC,TRUE,https://doi.org/10.3133/sir20185010,,,,,,,,,,,,,
605,doi:10.5066/F7222RWF,TRUE,https://doi.org/10.3133/sir20165045,,,,,,,,,,,,,
606,doi:10.5066/F7MC8XZR,TRUE,https://doi.org/10.1016/j.orggeochem.2017.11.001,,,,,,,,,,,,,
607,doi:10.5066/F7NZ85T1,TRUE,https://doi.org/10.1177/0748730419900877,,,,,,,,,,,,,
608,doi:10.5066/F77M063T,TRUE,https://doi.org/10.1007/s13157-019-01230-2,,,,,,,,,,,,,
609,doi:10.5066/F7FN15HC,TRUE,https://doi.org/10.3133/ofr20181069,,,,,,,,,,,,,
610,doi:10.5066/P9PPSHLW,TRUE,https://doi.org/10.1371/journal.pone.0205150,,,,,,,,,,,,,
611,doi:10.5066/F7X34VMZ,TRUE,https://doi.org/10.3133/ofr20171021,,,,,,,,,,,,,
612,doi:10.5066/P90DIV0B,TRUE,https://doi.org/10.1139/cjfas-2015-0472,,,,,,,,,,,,,
613,doi:10.5066/F7NC5Z9T,TRUE,https://doi.org/10.1002/2017GL075571,,,,,,,,,,,,,
614,doi:10.5066/F7QN65RW,TRUE,https://doi.org/10.3133/sir2019-5088,,,,,,,,,,,,,
615,doi:10.5066/F7R78D6J,TRUE,https://doi.org/10.3354/meps12301,,,,,,,,,,,,,
616,doi:10.5066/F7XW4HRJ,TRUE,https://doi.org/10.3133/sir20185080,,,,,,,,,,,,,
617,doi:10.5066/P973V4A9,TRUE,https://doi.org/10.3133/sir20185089,,,,,,,,,,,,,
618,doi:10.5066/F7M0449D,TRUE,https://doi.org/10.1007/s10346-018-0950-z,,,,,,,,,,,,,
619,doi:10.5066/F7P26W84,TRUE,https://doi.org/10.3133/ofr20191018,,,,,,,,,,,,,
620,doi:10.5066/F75X27WS,TRUE,https://doi.org/10.1016/j.rama.2018.05.003,,,,,,,,,,,,,
621,doi:10.5066/F7DR2T0M,TRUE,https://doi.org/10.3133/sir20175151,,,,,,,,,,,,,
622,doi:10.5066/F7VT1R1K,TRUE,https://doi.org/10.3133/sir20185051,,,,,,,,,,,,,
623,doi:10.5066/P995RGC9,TRUE,https://doi.org/10.1080/17445647.2018.1548383,,,,,,,,,,,,,
624,doi:10.5066/F7610Z63,TRUE,https://doi.org/10.3133/sim3396,,,,,,,,,,,,,
625,doi:10.5066/F7GX48P2,TRUE,https://doi.org/10.1002/ecy.1905,,,,,,,,,,,,,
626,doi:10.5066/F75M64MC,TRUE,https://doi.org/10.1016/j.foreco.2017.07.049,,,,,,,,,,,,,
627,doi:10.5066/P91ZRGKQ,TRUE,https://doi.org/10.3390/rs12010057,,,,,,,,,,,,,
628,doi:10.5066/F7WM1BJK,TRUE,https://doi.org/10.3133/sir20175064,,,,,,,,,,,,,
629,doi:10.5066/F75M64QQ,TRUE,https://doi.org/10.1002/2017WR021172,,,,,,,,,,,,,
630,doi:10.5066/F78K7749,TRUE,https://doi.org/10.3133/sir20185030,,,,,,,,,,,,,
631,doi:10.5066/F7K935M8,TRUE,https://doi.org/10.3133/ofr20171050,,,,,,,,,,,,,
632,doi:10.5066/F7BZ65CN,TRUE,https://doi.org/10.3133/sim3427,,,,,,,,,,,,,
633,doi:10.5066/P9SX3MGY,TRUE,https://doi.org/10.1177/0309133318795846,,,,,,,,,,,,,
634,doi:10.5066/P99CWIDL,TRUE,https://doi.org/10.1029/2018WR024428,,,,,,,,,,,,,
635,doi:10.5066/F7DN4330,TRUE,https://doi.org/10.1016/j.csr.2013.01.017,,,,,,,,,,,,,
636,doi:10.5066/F7DB80B9,TRUE,https://doi.org/10.3133/pp1834,,,,,,,,,,,,,
637,doi:10.5066/F7154F84,TRUE,https://doi.org/10.3390/land6020029,,,,,,,,,,,,,
638,doi:10.5066/F71R6NQ2,TRUE,https://doi.org/10.3133/ofr20171048,,,,,,,,,,,,,
639,doi:10.5066/F79W0DQR,TRUE,https://doi.org/10.7589/2017-07-179,,,,,,,,,,,,,
640,doi:10.5066/F7T151VX,TRUE,https://doi.org/10.1016/j.rse.2017.06.025,,,,,,,,,,,,,
641,doi:10.5066/P9X8J7ST,TRUE,https://doi.org/10.18194/ws.00145,,,,,,,,,,,,,
642,doi:10.5066/F7NZ86JV,TRUE,https://doi.org/10.1139/cjfas-2017-0304,,,,,,,,,,,,,
643,doi:10.5066/F75H7DG7,TRUE,https://doi.org/10.1016/j.ecolind.2017.04.053,,,,,,,,,,,,,
644,doi:10.5066/F7S180KR,TRUE,https://doi.org/10.3133/sir20165095,,,,,,,,,,,,,
645,doi:10.5066/P92CV9QZ,TRUE,https://doi.org/10.1080/14772000.2019.1607615,,,,,,,,,,,,,
646,doi:10.5066/F7H1307W,TRUE,https://doi.org/10.1002/eap.1777,,,,,,,,,,,,,
647,doi:10.5066/P97C5X8W,TRUE,https://doi.org/10.1007/978-1-4612-1528-8_2,,,,,,,,,,,,,
648,doi:10.5066/F7K35RQB,TRUE,https://doi.org/10.3133/ofr20161025,,,,,,,,,,,,,
649,doi:10.5066/P905PTI4,TRUE,https://doi.org/10.3133/sim3413,,,,,,,,,,,,,
650,doi:10.5066/F7TM79CK,TRUE,https://doi.org/10.1002/ece3.4390,,,,,,,,,,,,,
651,doi:10.5066/F7J67FTF,TRUE,https://doi.org/10.1021/acs.est.7b02155,,,,,,,,,,,,,
652,doi:10.5066/P9ZBBR3R,TRUE,https://doi.org/10.5772/14478,,,,,,,,,,,,,
653,doi:10.5066/F7GF0RK5,TRUE,https://doi.org/10.3133/ds908,,,,,,,,,,,,,
654,doi:10.5066/F7KW5D5Z,TRUE,https://doi.org/10.1002/etc.3688,,,,,,,,,,,,,
655,doi:10.5066/P9LMGHRV,TRUE,https://doi.org/10.3133/sir20175013,,,,,,,,,,,,,
656,doi:10.5066/P9EWSGZB,TRUE,https://doi.org/10.3391/mbi.2019.10.2.06,,,,,,,,,,,,,
657,doi:10.5066/F7GM85DN,TRUE,https://doi.org/10.1371/journal.pone.0158115,,,,,,,,,,,,,
658,doi:10.5066/F7VQ30VZ,TRUE,https://doi.org/10.3133/sim3405,,,,,,,,,,,,,
659,doi:10.5066/F77P8WK3,TRUE,https://doi.org/10.1080/10236244.2017.1387480,,,,,,,,,,,,,
660,doi:10.5066/P97TXFRB,TRUE,https://doi.org/10.3133/fs20173044,,,,,,,,,,,,,
661,doi:10.5066/F7CZ36F4,TRUE,https://doi.org/10.3133/sir20185145,,,,,,,,,,,,,
662,doi:10.5066/P9V3Y334,TRUE,https://doi.org/10.1080/24705357.2019.1662339,,,,,,,,,,,,,
663,doi:10.5066/F7H13033,TRUE,https://doi.org/10.3133/ofr20161082,,,,,,,,,,,,,
664,doi:10.5066/F71Z43MD,TRUE,https://doi.org/10.3133/ofr20191077,,,,,,,,,,,,,
665,doi:10.5066/F76M35TN,TRUE,https://doi.org/10.1007/s10592-017-1037-4,,,,,,,,,,,,,
666,doi:10.5066/F7GH9GW0,TRUE,https://doi.org/10.3133/ofr20061119,,,,,,,,,,,,,
667,doi:10.5066/P96B0IEC,TRUE,https://doi.org/10.1029/2018JF004843,,,,,,,,,,,,,
668,doi:10.5066/P9O9EB1C,TRUE,https://doi.org/10.1029/2018WR023458,,,,,,,,,,,,,
669,doi:10.5066/F7RX996K,TRUE,https://doi.org/10.3133/sir20165089,,,,,,,,,,,,,
670,doi:10.5066/F7F18Z12,TRUE,https://doi.org/10.1016/j.apgeochem.2018.09.015,,,,,,,,,,,,,
671,doi:10.5066/P925UXOR,TRUE,https://doi.org/10.3133/sir20175150,,,,,,,,,,,,,
672,doi:10.5066/F7NZ864G,TRUE,https://doi.org/10.3133/sir20175114,,,,,,,,,,,,,
673,doi:10.5066/F76W98BN,TRUE,https://doi.org/10.3133/ofr20171082,,,,,,,,,,,,,
674,doi:10.5066/P9CU2U8Z,TRUE,https://doi.org/10.1002/ecs2.2351,,,,,,,,,,,,,
675,doi:10.5066/P9V0T04B,TRUE,https://doi.org/10.3133/sir20195103,,,,,,,,,,,,,
676,doi:10.5066/F7WW7GKQ,TRUE,https://doi.org/10.3133/sir20185098,,,,,,,,,,,,,
677,doi:10.5066/F7CC0ZMG,TRUE,https://doi.org/10.1111/1752-1688.12685,,,,,,,,,,,,,
678,doi:10.5066/F7SX6B9H,TRUE,https://doi.org/10.3133/sir20155164,,,,,,,,,,,,,
679,doi:10.5066/F72B8W1X,TRUE,https://doi.org/10.5072/N91WBCT8,,,,,,,,,,,,,
